time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1561001063.38555837,0.02317169,4670,0.00715582,0.00000000,0,0.00000000,234280,234732,1055,0.00000000
1561001063.48584104,0.02491884,4712,0.00453239,0.00000000,0,0.00000000,234732,235123,1038,0.00325032
1561001063.58396769,0.02332725,4778,0.00395380,0.00000000,0,0.00000000,235123,235691,1087,0.00000000
1561001063.68584418,0.02287309,4718,0.00397918,0.00000000,0,0.00000000,235691,236200,978,0.00298542
1561001063.78473830,0.02447192,4763,0.00523526,0.00000000,0,0.00000000,236200,236712,1022,0.00000000
1561001063.88444638,0.02489353,4799,0.00462348,0.00000000,0,0.00000000,236712,237240,1050,0.00328323
1561001063.98586035,0.02751615,4749,0.00490261,0.00000000,0,0.00000000,237240,237644,981,0.00000000
1561001064.08420897,0.02829698,4799,0.00436380,0.00000000,0,0.00000000,237644,237968,1054,0.00326726
1561001064.18566990,0.02773482,4853,0.00443775,0.00000000,0,0.00000000,237968,238329,1057,0.00000000
1561001064.28437614,0.02457357,4814,0.00377319,0.00000000,0,0.00000000,238329,238768,1041,0.00235940
1561001064.38580728,0.02260243,4822,0.00469164,0.00000000,0,0.00000000,238768,239179,1010,0.00000000
1561001064.48579478,0.03574917,4807,0.01993229,0.00000000,0,0.00000000,239179,239809,1091,0.00263886
1561001064.58413506,0.05507838,4821,0.02704826,0.00000000,0,0.00000000,239809,250270,1036,0.00000000
1561001064.68581009,0.02693144,4790,0.00423440,0.00000000,0,0.00000000,250270,251248,1012,0.00258178
1561001064.78416181,0.02036465,4729,0.00451725,0.00000000,0,0.00000000,240326,241162,1000,0.00000000
1561001064.88556981,0.02030586,4730,0.00412703,0.00000000,0,0.00000000,241162,242024,1010,0.00196015
1561001064.98564315,0.02229968,4677,0.00317301,0.00000000,0,0.00000000,242024,242832,1006,0.00000000
1561001065.08578658,0.02022976,4675,0.00292823,0.00000000,0,0.00000000,242832,243625,1013,0.00212529
1561001065.18611288,0.01909340,4600,0.00226778,0.00000000,0,0.00000000,243625,244359,974,0.00000000
1561001065.28448939,0.01575483,4580,0.00262956,0.00000000,0,0.00000000,244359,245023,956,0.00379211
1561001065.38591003,0.01765877,4538,0.00358538,0.00000000,0,0.00000000,245023,245699,990,0.00000000
1561001065.48592591,0.02134414,4491,0.00513108,0.00000000,0,0.00000000,245699,246288,931,0.00207607
1561001065.58425689,0.02067116,4467,0.00435575,0.00000000,0,0.00000000,246288,246878,967,0.00000000
1561001065.68611526,0.02191464,4496,0.00632498,0.00000000,0,0.00000000,246878,247451,951,0.00616047
